track_id,track_name,duration_ms,track_popularity,explicit,album_name,album_id,album_type,album_total_tracks,release_date,artist_name,artist_id,artist_genres,artist_popularity,artist_followers,danceability,energy,key,key_confidence,loudness,mode,mode_confidence,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo_confidence,time_signature,time_signature_confidence,playlist_name
Stop Draggin' Your Boots,0ODaBMQ3tbTefbmbMWTwdT,164347,63,False,Stop Draggin' Your Boots,4uWN7YSR2HKkNkrlY9HiQP,single,1,2021-07-30,Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,contemporary country; country pop; country road,51,304465,0.463,0.76,2,0.291,-5.958,1,0.479,0.11,0.0379,0.0,0.115,0.65,123.899,0.064,4,1.0,Country
We Ride,72kGuWpRiuA149Bn5lDkIO,188482,83,True,Poets & Old Souls,19X9Ts9AYIRrqthSTf3qss,album,9,2023-03-31,Bryan Martin,0ChjBYedhZTQnWZWQYg15U,modern country pop,69,126829,0.62,0.706,3,0.877,-4.176,1,0.674,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,0.361,4,0.988,Country
half of my hometown (feat. Kenny Chesney),1yRke3PmsyFrYlFZOAkABk,231832,68,False,kelsea,11sr6VmBTa9Tkzwte11LDZ,album,13,2020-03-20,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,contemporary country; country,68,1121144,0.57,0.618,10,0.574,-4.966,1,0.692,0.0445,0.153,0.0,0.159,0.286,138.034,0.233,4,0.857,Country
Chasin' You,5MwynWK9s4hlyKHqhkNn4A,205453,82,False,If I Know Me,1IR2nlwX6YVTXXeu2qzoWO,album,14,2018-04-27,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,87,8308371,0.631,0.591,7,0.667,-5.785,1,0.667,0.0277,0.657,0.0,0.11,0.489,97.074,0.244,4,1.0,Country
Creek Will Rise,5owS9iWWGd6mDlFjUFzBsw,169293,71,False,Creek Will Rise,4UXS7my7tmdX117YcfpXnx,single,1,2023-02-24,Conner Smith,0y2FPygoi6LVc75pxCgsMk,modern country pop,57,58791,0.423,0.887,1,0.911,-2.97,1,0.676,0.0537,0.0362,0.0,0.243,0.892,169.975,0.087,4,0.905,Country
The Bones,7yFhA2fUsL2oIMWlw5DaHQ,197293,72,False,GIRL,3XpxioqzCTiqOSuHTXuaGf,album,16,2019-03-08,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,classic texas country; contemporary country,70,783282,0.612,0.57,11,0.575,-6.642,0,0.563,0.0347,0.278,0.0,0.0963,0.334,77.004,0.129,4,0.992,Country
When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,240760,83,False,This One's for You,1lhNch5NkOONvFhRPh8qaj,album,12,2017-06-02,Luke Combs,718COspgdWOnwOFpJHRZHS,contemporary country; country,82,9913044,0.551,0.801,6,1.0,-5.069,1,0.979,0.0303,0.013,6.03e-06,0.265,0.625,128.027,0.881,4,0.99,Country
Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,298373,81,False,True Believers,6cowf7fdb5dgKoglTekOK8,album,12,2013-01-01,Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,black americana; contemporary country; country; country road; modern country rock,66,2519448,0.537,0.66,9,0.74,-7.174,1,0.724,0.0296,0.455,0.0,0.135,0.574,148.096,0.81,4,0.676,Country
Fall In Love,0rCFRyEy4WXjRXNpO80Dzs,232058,80,False,Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,album,16,2023-01-11,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,contemporary country; modern country pop,74,903677,0.524,0.643,9,0.608,-6.055,1,0.583,0.0297,0.451,0.0,0.221,0.397,135.962,0.308,4,0.787,Country
The Good Ones,3hLuHKzG1cmlRpq53ZVWd8,215140,73,False,Goldmine,4Iqfx63CZhFGGIHiAvLxXY,album,13,2020-06-19,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,contemporary country,63,314087,0.519,0.552,2,0.405,-5.023,1,0.596,0.0259,0.18,0.0,0.149,0.331,89.957,0.299,4,0.99,Country
23,1ZpPaBDswjV3VSUKqLDXPE,228144,80,False,23,2LTt0pFwjPS5Zdc7tlmwyl,single,1,2021-05-14,Chayce Beckham,5ujvZU2thXjZgFKPUt1rDt,modern country pop,60,92362,0.626,0.583,0,0.544,-7.346,0,0.502,0.0318,0.276,0.0,0.141,0.428,87.977,0.479,4,0.99,Country
Son Of A Sinner,6ngGiVX91DRmGDH4G5EgeO,232093,79,True,Ballads of the Broken,4HNIAKT3412itayEYv2BxL,album,10,2021-09-17,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,country rap; nashville hip hop; tennessee hip hop,77,3044934,0.365,0.541,7,0.438,-7.489,1,0.552,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,0.151,4,1.0,Country
Bluebird,0kPeZAyIhIfeZNrtfjJGDB,209760,70,False,Wildcard,5Or2XM0Gjy6Y8qlaERqsSn,album,14,2019-11-01,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,contemporary country; country; country dawn; country road,67,3559622,0.661,0.633,7,0.368,-5.986,1,0.498,0.0348,0.038,2.75e-06,0.124,0.613,81.984,0.0,4,1.0,Country
Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,172253,78,False,California Sunrise,1DTBcVfk3zXPHRmgpY6rFZ,album,12,2016-05-13,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,contemporary country; country; country road; modern country rock,72,1891998,0.63,0.754,2,0.228,-3.564,1,0.405,0.0284,0.0963,0.0,0.268,0.73,95.999,0.235,4,1.0,Country
She Got the Best of Me,698eQRku24PIYPQPHItKlA,183160,82,False,This One's for You Too (Deluxe Edition),53Oa5Bu0UTU8o8qCTaHKoz,album,17,2018-06-01,Luke Combs,718COspgdWOnwOFpJHRZHS,contemporary country; country,82,9913044,0.533,0.907,11,0.663,-3.793,1,0.634,0.0406,0.0292,0.0,0.386,0.7,150.99,0.22,4,0.557,Country
Play It Again,03fT3OHB9KyMtGMt2zwqCT,226866,78,False,Crash My Party,5M8gr5RV2eR6UkztC69ogB,album,13,2013-01-01,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,contemporary country; country; country road; modern country rock,75,8534509,0.506,0.886,11,0.771,-3.225,1,0.67,0.0655,0.0916,0.0,0.0734,0.595,143.935,0.762,4,0.815,Country
She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,206106,77,False,Stereotype,5UgaQfAOaOdfLxFClw8EWa,album,13,2022-04-08,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,contemporary country; country; country road; modern country rock,65,2237128,0.607,0.912,8,0.658,-3.449,1,0.645,0.0611,0.124,0.0,0.332,0.722,134.944,0.879,4,1.0,Country
One Man Band,7cA3PnUQDlUyBBwpRozQeo,186240,77,False,Old Dominion,0eu2mZjF6JQTuLCu9ils6m,album,17,2019-10-25,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,contemporary country; country; country road; modern country rock,67,1465184,0.706,0.358,6,0.753,-8.331,1,0.716,0.0347,0.677,0.0,0.107,0.478,75.991,0.283,4,0.991,Country
Springsteen,05ZACkzW8YbRq3eFgIfSNB,263386,77,False,Chief,5dtw6CoMhbrSj01YUvdQOF,album,11,2011-01-01,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,contemporary country; country; country road,72,3820276,0.692,0.809,2,0.7,-5.935,1,0.77,0.0255,0.1,9.77e-05,0.185,0.927,104.023,0.305,4,0.961,Country
My Church,1LM5zQv5pBKPyO7rm7Uz6U,197930,69,False,HERO (Deluxe Edition),4sSXylKcBB3p47VfrBJlfK,album,14,2017-03-17,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,classic texas country; contemporary country,70,783282,0.517,0.743,9,0.451,-4.336,1,0.52,0.0363,0.243,3.36e-06,0.107,0.664,76.979,0.373,4,1.0,Country
Your Heart Or Mine,7ETjhPaIU4UmHOiimJBZz9,161200,78,False,Mr. Saturday Night,2QriWWJQt8g8XXoC1ATDPa,album,14,2022-09-02,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,contemporary country; country; country road; modern country rock,72,1891998,0.639,0.713,5,0.601,-4.368,0,0.663,0.0337,0.0539,0.0,0.102,0.717,86.1,0.196,4,1.0,Country
Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,222533,79,False,This One's for You,1lhNch5NkOONvFhRPh8qaj,album,12,2017-06-02,Luke Combs,718COspgdWOnwOFpJHRZHS,contemporary country; country,82,9913044,0.464,0.813,10,0.551,-6.185,1,0.618,0.0416,0.0153,0.0,0.254,0.515,75.977,0.023,4,0.915,Country
More Hearts Than Mine,60RFlt48hm0l4Fu0JoccOl,214786,67,False,Lady Like,6qon3hv0lhwK8o57PvVWZl,album,8,2020-03-27,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,contemporary country; country pop,56,151477,0.375,0.428,0,0.591,-7.387,1,0.632,0.029,0.109,0.0,0.105,0.361,78.516,0.049,4,0.814,Country
Parachute,5jROdl6MhcmP3O7h2sVgtw,253200,77,False,Traveller,7lxHnls3yQNl8B9bILmHj7,album,14,2015-05-04,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,contemporary country; outlaw country,80,6576591,0.642,0.762,6,0.517,-7.411,1,0.604,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,0.94,4,0.991,Country
'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,224213,77,False,Human The Double Album,3og8X1LYiVq3nPdMxpM9Wb,album,18,2021-10-08,Cody Johnson,6zLBxLdl60ekBLpawtT63I,classic texas country; contemporary country; modern country pop,74,1112800,0.501,0.815,1,0.494,-4.865,1,0.689,0.0436,0.0513,0.0,0.106,0.46,160.087,0.387,4,0.996,Country
Drink In My Hand,1cktZnxiONH0hR6Q3DKy8h,191306,76,False,Chief,5dtw6CoMhbrSj01YUvdQOF,album,11,2011-01-01,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,contemporary country; country; country road,72,3820276,0.626,0.913,0,0.67,-4.452,1,0.552,0.0318,0.00635,0.0,0.293,0.946,113.044,0.9,4,0.997,Country
Wilder Days,2vubFQgAJO5SeuVa7ytIHc,251293,66,False,Reckless,1PuZ5juin9Mpt3Tyiygzio,album,10,2021-03-19,Morgan Wade,4eYE8Z6cfEHEdG22lTyucP,modern country pop,54,119709,0.502,0.662,9,0.668,-4.041,1,0.725,0.0293,0.00322,0.00274,0.119,0.4,110.917,0.482,4,1.0,Country
Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,205200,78,False,California Sunrise,1DTBcVfk3zXPHRmgpY6rFZ,album,12,2016-05-13,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,contemporary country; country; country road; modern country rock,72,1891998,0.596,0.834,9,0.421,-4.308,1,0.434,0.0474,0.0563,0.0,0.0866,0.618,116.0,0.902,4,1.0,Country
In Case You Didn't Know,10M2Ex445zw585Ducldzkw,224853,76,False,Brett Young,6MTPPsqX8KnmDWmnQmbxJ5,album,12,2017-02-10,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,contemporary country; country; country road; modern country rock,64,1060945,0.607,0.536,10,0.758,-7.306,1,0.603,0.0305,0.386,0.0,0.102,0.434,147.986,0.436,4,1.0,Country
Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,227426,76,False,Tangled Up,4ykbJPI8MPscFzROE8dqLy,album,13,2015-01-01,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,contemporary country; country; country road; modern country rock,71,4655614,0.595,0.389,2,0.356,-9.245,1,0.597,0.0349,0.418,1.39e-06,0.116,0.4,166.052,0.187,4,1.0,Country
You Proof,5uU1uuyaUIBOiiUSQG7Wl3,157477,76,False,You Proof,2ORO3nNnFXxsvz9Pcd9RdI,single,1,2022-05-13,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,87,8308371,0.731,0.85,9,0.233,-4.913,1,0.403,0.0336,0.252,0.0,0.605,0.644,119.706,0.637,4,1.0,Country
You Make It Easy,2TXtN9MoV308Y0z1HvyTfV,193226,76,False,Rearview Town,0m3ZCK4dSvyq6KUzEWdMhE,album,15,2018-04-13,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,contemporary country; country; country road; modern country rock,73,6341363,0.542,0.571,7,0.56,-5.299,1,0.55,0.028,0.156,0.0,0.101,0.506,131.877,0.369,3,1.0,Country
Wild as Her,3kXH9BQq0TyNliiP1MIE6N,201066,76,False,Blacktop,6nIkyQ0HO6MDucznnn8DXi,album,10,2023-06-02,Corey Kent,3sUpZrkehiGBaMzs2h9Mmc,modern country pop; texas country,63,131816,0.5,0.748,0,0.385,-5.927,1,0.514,0.0364,0.00291,0.0,0.112,0.448,148.009,0.275,4,0.825,Country
American Kids,1dgWTMoHwTUnQhOQ8SR5fV,182960,76,False,The Big Revival,2R5PAxygJ4YeRuSwoalKam,album,11,2014-09-22,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,contemporary country; country; country road; modern country rock,68,4377618,0.782,0.589,0,0.591,-7.37,1,0.518,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,0.033,4,0.967,Country
That's My Kind Of Night,5HGibWoxnkYSkl6mHmAlOE,190186,75,False,Crash My Party,5M8gr5RV2eR6UkztC69ogB,album,13,2013-01-01,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,contemporary country; country; country road; modern country rock,75,8534509,0.661,0.751,7,0.0,-2.909,1,0.216,0.0481,0.0571,0.0,0.105,0.875,109.995,0.596,4,0.997,Country
Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,202346,77,False,California Sunrise,1DTBcVfk3zXPHRmgpY6rFZ,album,12,2016-05-13,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,contemporary country; country; country road; modern country rock,72,1891998,0.563,0.688,7,0.603,-4.474,1,0.678,0.0262,0.0763,0.0,0.0863,0.622,108.008,0.7,4,1.0,Country
Pick Me Up,7xNYZeFtrB05pi9tc6lEeb,169440,61,False,Pick Me Up,0AFaIppKjr2lO1pCjx1wK5,single,4,2021-11-05,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,contemporary country,63,314087,0.472,0.701,2,0.167,-4.563,1,0.429,0.0369,0.0387,0.0,0.107,0.515,79.805,0.483,4,1.0,Country
Religiously,0bILU0UiNDmA5Ff6whhb2R,178723,83,False,Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,album,16,2023-01-11,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,contemporary country; modern country pop,74,903677,0.57,0.67,1,0.686,-6.519,1,0.639,0.0274,0.426,0.0,0.108,0.593,140.924,0.794,4,1.0,Country
